"Country Code","Indice","Limitesup","Limiteinf"
"AFG",-1.457285,-1.2192339,-1.6953361
"ALB",0.114788,0.342358,-0.112782
"DZA",-0.4439246,-0.24963,-0.6382192
"ASM",0.5514148,1.0099893,0.0928402999999999
"AND",1.944976,2.4035505,1.4864015
"AGO",-1.052086,-0.8594219,-1.2447501
"AIA",0.8301269,1.2887014,0.3715524
"ATG",-0.0060096,0.4525649,-0.4645841
"ARG",0.0259878,0.2091132,-0.1571376
"ARM",-0.0243394,0.1820347,-0.2307135
"ABW",1.058392,1.3902635,0.7265205
"AUS",1.596495,1.8186396,1.3743504
"AUT",1.453342,1.6754866,1.2311974
"AZE",-0.1004674,0.1229181,-0.3238529
"BHS",0.5391499,0.8308886,0.2474112
"BHR",0.1798774,0.4288193,-0.0690645
"BGD",-0.7483993,-0.5420691,-0.9547295
"BRB",0.4269727,0.7588442,0.0951012000000001
"BLR",-0.3010303,-0.0750159999999999,-0.5270446
"BEL",1.171748,1.3938926,0.9496034
"BLZ",-0.5938884,-0.2746074,-0.9131694
"BEN",-0.5659866,-0.3769708,-0.7550024
"BMU",1.387551,1.8461255,0.9289765
"BTN",0.3588973,0.6237481,0.0940464999999999
"BOL",-0.3220994,-0.117827,-0.5263718
"BIH",-0.6185398,-0.3993264,-0.8377532
"BWA",0.3334411,0.5209059,0.1459763
"BRA",-0.4474374,-0.264312,-0.6305628
"BRN",1.252714,1.4943473,1.0110807
"BGR",0.2718757,0.4701749,0.0735765
"BFA",-0.5783429,-0.3876044,-0.7690814
"BDI",-1.419982,-1.2290928,-1.6108712
"CPV",0.3192393,0.5250728,0.1134058
"KHM",-0.568605,-0.3494442,-0.7877658
"CMR",-0.7996525,-0.6190537,-0.9802513
"CAN",1.716108,1.9382526,1.4939634
"CYM",1.204366,1.5362375,0.8724945
"CAF",-1.720417,-1.5193112,-1.9215228
"TCD",-1.528847,-1.3395229,-1.7181711
"CHL",1.084034,1.2694435,0.8986245
"CHN",0.4771284,0.6726405,0.2816163
"COL",-0.0852262,0.0978992,-0.2683516
"COM",-1.639134,-1.4048554,-1.8734126
"COD",-1.554787,-1.3670214,-1.7425526
"COG",-1.217236,-1.0261806,-1.4082914
"CRI",0.3781868,0.5868454,0.1695282
"CIV",-0.5705186,-0.3797801,-0.7612571
"HRV",0.4569183,0.6552175,0.2586191
"CUB",-0.2448378,0.0020125,-0.4916881
"CYP",0.9209022,1.1430468,0.6987576
"CZE",0.9222081,1.1354534,0.7089628
"DNK",1.871631,2.0937756,1.6494864
"DJI",-0.8990966,-0.6862124,-1.1119808
"DMA",-0.2895034,0.0598139,-0.6388207
"DOM",-0.4002573,-0.2082983,-0.5922163
"ECU",-0.2613976,-0.0559788,-0.4668164
"EGY",-0.5848041,-0.4042053,-0.7654029
"SLV",-0.4471425,-0.2551835,-0.6391015
"GNQ",-1.29438,-1.0579897,-1.5307703
"ERI",-1.727732,-1.5247474,-1.9307166
"EST",1.191938,1.4051833,0.9786927
"SWZ",-0.6599468,-0.4425535,-0.8773401
"ETH",-0.6074697,-0.4266021,-0.7883373
"FJI",0.2595362,0.6088535,-0.0897811
"FIN",1.984208,2.2063526,1.7620634
"FRA",1.480526,1.7026706,1.2583814
"GUF",1.397863,1.7297345,1.0659915
"GAB",-0.8122834,-0.6215449,-1.0030219
"GMB",-0.6234712,-0.4344874,-0.812455
"GEO",0.6145709,0.8337843,0.3953575
"DEU",1.619633,1.8417776,1.3974884
"GHA",-0.2102704,-0.0296716,-0.3908692
"GRC",0.3382609,0.5604055,0.1161163
"GRL",0.8380827,1.2756083,0.4005571
"GRD",-0.2529525,0.0817708999999999,-0.5876759
"GUM",0.2727026,0.7312771,-0.1858719
"GTM",-0.6820061,-0.4900471,-0.8739651
"GIN",-0.9709232,-0.7903244,-1.151522
"GNB",-1.48785,-1.2665068,-1.7091932
"GUY",-0.2694839,-0.0188517000000001,-0.5201161
"HTI",-1.909054,-1.7026799,-2.1154281
"HND",-0.6206585,-0.4286995,-0.8126175
"HKG",1.903607,2.1257516,1.6814624
"HUN",0.4873109,0.7005562,0.2740656
"ISL",1.465655,1.6877996,1.2435104
"IND",0.2830485,0.4785606,0.0875364
"IDN",0.1798754,0.3753875,-0.0156367
"IRN",-0.4302173,-0.2068318,-0.6536028
"IRQ",-1.320548,-1.0986345,-1.5424615
"IRL",1.420338,1.6424826,1.1981934
"ISR",1.208207,1.4303516,0.9860624
"ITA",0.4138835,0.6360281,0.1917389
"JAM",0.4967112,0.7085027,0.2849197
"JPN",1.675817,1.8979616,1.4536724
"JEY",1.259951,1.6974766,0.8224254
"JOR",0.112718,0.3082301,-0.0827941
"KAZ",0.0217204,0.2200196,-0.1765788
"KEN",-0.4108523,-0.2302535,-0.5914511
"KIR",-0.2764392,0.0726653,-0.6255437
"PRK",-1.57276,-1.307445,-1.838075
"KOR",1.182665,1.3959103,0.9694197
"XKX",-0.4283053,-0.1674992,-0.6891114
"KWT",-0.0878059,0.1397641,-0.3153759
"KGZ",-0.6115379,-0.3797615,-0.8433143
"LAO",-0.672724,-0.4511252,-0.8943228
"LVA",1.043452,1.2566973,0.8302067
"LBN",-0.6402023,-0.4168168,-0.8635878
"LSO",-0.8609057,-0.6611257,-1.0606857
"LBR",-1.340831,-1.1533662,-1.5282958
"LBY",-1.847037,-1.6395376,-2.0545364
"LIE",1.739037,2.0709085,1.4071655
"LTU",1.072398,1.2856433,0.8591527
"LUX",1.778221,2.0003656,1.5560764
"MAC",1.204366,1.5362375,0.8724945
"MDG",-1.153121,-0.9623825,-1.3438595
"MWI",-0.7286705,-0.5412057,-0.9161353
"MYS",1.075348,1.2754477,0.8752483
"MDV",-0.4884941,-0.1486959,-0.8282923
"MLI",-1.004638,-0.8240392,-1.1852368
"MLT",0.968796,1.2072782,0.7303138
"MHL",-1.554391,-1.0749066,-2.0338754
"MTQ",1.108839,1.5674135,0.6502645
"MRT",-0.7266325,-0.5373084,-0.9159566
"MUS",0.8760849,1.0651007,0.6870691
"MEX",-0.153388,0.0297374,-0.3365134
"FSM",-0.1488629,0.2002416,-0.4979674
"MDA",-0.4665205,-0.2581145,-0.6749265
"MNG",-0.2333477,-0.0378729,-0.4288225
"MNE",0.1311615,0.3630002,-0.1006772
"MAR",-0.2092959,-0.0286971,-0.3898947
"MOZ",-0.8742813,-0.6923256,-1.056237
"MMR",-1.068652,-0.8467931,-1.2905109
"NAM",0.106442,0.2997373,-0.0868533
"NRU",-0.076744,0.971695,-1.125183
"NPL",-0.9023383,-0.6831775,-1.1214991
"NLD",1.850466,2.0726106,1.6283214
"NZL",1.670251,1.8923956,1.4481064
"NIC",-0.8024699,-0.6105109,-0.9944289
"NER",-0.7660425,-0.575304,-0.956781
"NGA",-1.022591,-0.8419922,-1.2031898
"MKD",0.0902431,0.3627473,-0.1822611
"NOR",1.887119,2.1092636,1.6649744
"OMN",0.1865782,0.4391106,-0.0659542
"PAK",-0.6338443,-0.4275141,-0.8401745
"PLW",-0.0121242,1.0363148,-1.0605632
"PAN",-0.019452,0.1751428,-0.2140468
"PNG",-0.6773402,-0.439353,-0.9153274
"PRY",-0.5172144,-0.3117956,-0.7226332
"PER",-0.2454309,-0.0623055,-0.4285563
"PHL",0.0495094,0.2450215,-0.1460027
"POL",0.6626508,0.8758961,0.4494055
"PRT",1.208909,1.4310536,0.9867644
"PRI",-0.156924,0.1749475,-0.4887955
"QAT",0.6312364,0.8467256,0.4157472
"REU",1.108839,1.5674135,0.6502645
"ROU",-0.2534418,-0.0551426,-0.451741
"RUS",-0.0608858,0.1523595,-0.2741311
"RWA",0.2068089,0.396133,0.0174848
"WSM",0.5907587,0.9398632,0.2416542
"STP",-0.6393903,-0.4181486,-0.860632
"SAU",0.3234982,0.5367435,0.1102529
"SEN",-0.2678156,-0.0872168,-0.4484144
"SRB",0.1116198,0.3391898,-0.1159502
"SYC",0.502284,0.7085158,0.2960522
"SLE",-1.142948,-0.9554832,-1.3304128
"SGP",2.231474,2.4447193,2.0182287
"SVK",0.7074615,0.9207068,0.4942162
"SVN",1.125806,1.3390513,0.9125607
"SLB",-1.054241,-0.7051365,-1.4033455
"SOM",-2.19103,-1.9973764,-2.3846836
"ZAF",0.3403786,0.5135631,0.1671941
"SSD",-2.449409,-2.2280144,-2.6708036
"ESP",1.002136,1.2242806,0.7799914
"LKA",-0.2353793,-0.0269733,-0.4437853
"KNA",0.5514148,1.0099893,0.0928402999999999
"LCA",0.1956703,0.5449876,-0.153647
"VCT",0.1956703,0.5449876,-0.153647
"SDN",-1.619857,-1.4275178,-1.8121962
"SUR",-0.6553037,-0.363565,-0.9470424
"SWE",1.830975,2.0531196,1.6088304
"CHE",2.039621,2.2617656,1.8174764
"SYR",-1.671169,-1.3987607,-1.9435773
"TWN",1.362331,1.5755763,1.1490857
"TJK",-1.097704,-0.8596529,-1.3357551
"TZA",-0.7562658,-0.575667,-0.9368646
"THA",0.3499596,0.5482588,0.1516604
"TLS",-0.9826074,-0.7177566,-1.2474582
"TGO",-1.057791,-0.8670525,-1.2485295
"TON",0.1393548,0.4738909,-0.1951813
"TTO",0.1902379,0.4133489,-0.0328731
"TUN",-0.1052618,0.075337,-0.2858606
"TUR",0.0060968,0.2146668,-0.2024732
"TKM",-1.044102,-0.7461146,-1.3420894
"TUV",-0.6936518,-0.3445473,-1.0427563
"UGA",-0.6060399,-0.4254411,-0.7866387
"UKR",-0.4152199,-0.2169207,-0.6135191
"ARE",1.431291,1.6445363,1.2180457
"GBR",1.341884,1.5640286,1.1197394
"USA",1.576998,1.7991426,1.3548534
"URY",0.5582148,0.7501738,0.3662558
"UZB",-0.5470828,-0.3090317,-0.7851339
"VUT",-0.4917117,-0.1571756,-0.8262478
"VEN",-1.581517,-1.3868177,-1.7762163
"VNM",-0.0034448,0.2029293,-0.2098189
"VIR",0.8301269,1.2887014,0.3715524
"PSE",-0.7608902,-0.4370443,-1.0847361
"YEM",-2.244354,-2.0275499,-2.4611581
"ZMB",-0.5592093,-0.3717445,-0.7466741
"ZWE",-1.19886,-1.0182612,-1.3794588
